Código,Cuenta
1,ACTIVO
11,ACTIVOS CORRIENTE
1101,EFECTIVO Y EQUIVALENTES DE EFECTIVO
110101,Caja general
11010101,Caja chica
110102,Bancos
11010201,Cuenta corriente
11010202,Cuenta de ahorro
11010203,Depositos a plazo
1102,INVERSIONES A CORTO PLAZO
110201,Acciones
110202,Bonos
110203,Otros titulos valores
1103,CUENTAS Y DOCUMENTOS POR COBRAR
110301,CLIENTES
110301,DEUDORES DIVERSOS
110701,Anticipos a proveedores
110702,Anticipos de salarios a empleados
110302,DOCUMENTOS POR COBRAR
1104,INVERSIONES TEMPORALES
110401,ACCIONES
1106,PRESTAMOS A EMPLEADOS Y ACCIONISTAS
110601,Accionistas
110602,Empleados
1108,ESTIMACION POR CUENTAS INCOBRABLES
1109,INVENTARIOS
1110,ESTIMACION PARA DETERIORO DE INVENTAR
1111,GASTOS PAGADOS POR ANTICIPADOS
111101,Seguros
111102,Alquileres
111103,Papeleria y utiles
111104,Pago a cuenta
111105,Intereses
1112,IVA CREDITO FISCAL
1113,IVA PAGADO POR ANTICIPADO
111301,IVA Percibido
111302,IVA Retenido
1114,PAGO A CUENTA
12,ACTIVOS NO CORRIENTES
1201,PROPIEDAD PLANTA Y EQUIPO
120101,Terrenos
120102,Edificios
120103,Instalaciones
120104,Equipo de reparto
120105,Mobiliario y equipo de oficina
120106,Equipo de Computo
120107,Maquinaria
1202,DEPRECIACIONES
120201,Edificio
120202,Instalaciones
120203,Equipo de reparto
120204,Mobiliario y equipo de oficina
120205,Equipo de Computo
120206,Maquinaria
1203,INSTANGIBLES
120301,Credito mercantil
120302,Patentes y marcas
120303,Derechos de autor
120304,Licencias
1204,AMORTIZACION DE INTANGIBLES
120401,Credito mercantil
120402,Patentes y marcas
120403,Licencias
1205,INVERSIONES PERMANENTES
1206,IMPUESTO SOBRE LA RENTA DIFERIDO
1207,ACTIVO DIFERIDO Y OTROS ACTIVOS
120501,PRIMAS DE SEGUROS
120503,ANTICIPOS PARA COMPRAS
120504,GASTOS DE INSTALACIoN
120505,DEPOSITOS EN GARANTIA
2,PASIVO
21,PASIVOS CORRIENTE
2101,SOBREGIROS BANCARIOS
2102,CUENTAS Y DOCUMENTOS POR PAGAR
210201,PROVEEDORES LOCALES
210202,PROVEEDORES EXTRANJEROS
210203,ANTICIPOS DE CLIENTES
21020301,Ingresos de clientes recibidos por anticipado
210204,DOCUMENTOS POR PAGAR
21020401,Pagares
21020402,Letras de cambio
21020403,Bonos
21020404,Otros titulos valores
210204,DOCUMENTOS POR COBRAR DESCONTADOS
21020401,pagares
21020402,Letras de cambio
21020403,Bonos
21020404,Otros titulos valores
2106,PRESTAMOS POR PAGAR
